ID,FIELD MNEMONIC,FIELD DESCRIPTION,FIELD DEFINITION,UNITS,FREQUENCY,PILLAR,THEME,HISTORY,Created,YEAR,Dashboard
BI319,EU_TAX_EST_SC_WASTE_REV_PCT,EU Taxonomy Estimated SC Waste Revenue Percent,"Estimated percentage of total revenue/turnover generated by the company that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to the transition to a circular economy.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,Natural Capital,From 2019,45617,current,N.A.
BI320,EU_TAX_EST_SC_WASTE_REV_AMT,EU Taxonomy Estimated SC Waste Revenue Amount,"Estimated amount of revenue/turnover generated by the company, in local currency, that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to the transition to a circular economy.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Million Reporting Currency,Annual,Environmental,Natural Capital,From 2019,45617,current,N.A.
BI321,EU_TAX_EST_SC_POLLUTION_REV_PCT,EU Taxonomy Estimated SC Pollution Revenue Percent,"Estimated percentage of total revenue/turnover generated by the company that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to pollution prevention and control.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,Natural Capital,From 2019,45617,current,N.A.
BI322,EU_TAX_EST_SC_POLLUTION_REV_AMT,EU Taxonomy Estimated SC Pollution Revenue Amount,"Estimated amount of revenue/turnover generated by the company, in local currency, that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to pollution prevention and control.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Million Reporting Currency,Annual,Environmental,Natural Capital,From 2019,45617,current,N.A.
BI323,EU_TAX_EST_SC_BIODIV_REV_PCT,EU Taxonomy Estimated SC Biodiversity Revenue Pct,"Estimated percentage of total revenue/turnover generated by the company that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to the protection and restoration of biodiversity and ecosystems.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,Natural Capital,From 2019,45617,current,N.A.
BI324,EU_TAX_EST_SC_BIODIV_REV_AMT,EU Taxonomy Estimated SC Biodiversity Revenue Amt,"Estimated amount of revenue/turnover generated by the company, in local currency, that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to the protection and restoration of biodiversity and ecosystems.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Million Reporting Currency,Annual,Environmental,Natural Capital,From 2019,45617,current,N.A.
BI325,EU_TAX_EST_SC_TR_MIT_REV_PCT,EU Tax Estimated SC Trans Mitigation Rev Pct,"Estimated percentage of total revenue/turnover generated by the company that is from transitional activities and passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to climate change mitigation.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI326,EU_TAX_EST_SC_TR_MIT_REV_AMT,EU Tax Estimated SC Trans Mitigation Rev Amt,"Estimated amount of revenue/turnover generated by the company, in local currency, that is from transitional activities and passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to climate change mitigation.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI327,EU_TAX_EST_SC_EN_MIT_REV_PCT,EU Tax Estimated SC Enabling Mitigation Rev Pct,"Estimated percentage of total revenue/turnover generated by the company that is from enabling activities and passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to climate change mitigation.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI328,EU_TAX_EST_SC_EN_MIT_REV_AMT,EU Tax Estimated SC Enabling Mitigation Rev Amt,"Estimated amount of revenue/turnover generated by the company, in local currency, that is from enabling activities and passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to climate change mitigation.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI331,EU_TAX_EST_SC_EN_ADAPT_REV_PCT,EU Tax Estimated SC Enabling Adaptation Rev Pct,"Estimated percentage of total revenue/turnover generated by the company that is from enabling activities and passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to climate change adaptation.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI332,EU_TAX_EST_SC_EN_ADAPT_REV_AMT,EU Tax Estimated SC Enabling Adaptation Rev Amt,"Estimated amount of revenue/turnover generated by the company, in local currency, that is from enabling activities and passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to climate change adaptation.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI333,EU_TAX_EST_ALIGNED_TR_REV_AMT,EU Taxonomy Estimated Aligned Transitional Rev Amt,"Estimated amount of revenue/turnover generated by the company, in local currency, that is from transitional activities, passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution, passes Do No Significant Harm (DNSH) tests, and passes Minimum Safeguard tests. Therefore, the output represents estimated aligned revenue/turnover.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI334,EU_TAX_EST_ALIGNED_TR_REV_PCT,EU Taxonomy Estimated Aligned Transitional Rev Pct,"Estimated percentage of total revenue/turnover generated by the company that is from transitional activities, passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution, passes Do No Significant Harm (DNSH) tests, and passes Minimum Safeguard tests. Therefore, the output represents estimated aligned revenue/turnover.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI337,EU_TAX_EST_ALIGNED_EN_REV_AMT,EU Taxonomy Estimated Aligned Enabling Rev Amt,"Estimated amount of revenue/turnover generated by the company, in local currency, that is from enabling activities, passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution, passes Do No Significant Harm (DNSH) tests, and passes Minimum Safeguard tests. Therefore, the output represents estimated aligned revenue/turnover.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI338,EU_TAX_EST_ALIGNED_EN_REV_PCT,EU Taxonomy Estimated Aligned Enabling Rev Pct,"Estimated percentage of total revenue/turnover generated by the company that is from enabling activities, passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution, passes Do No Significant Harm (DNSH) tests, and passes Minimum Safeguard tests. Therefore, the output represents estimated aligned revenue/turnover.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI341,EU_TAX_EST_SC_TR_REV_AMT,EU Taxonomy Estimated SC Transitional Rev Amt,"Estimated amount of revenue/turnover generated by the company, in local currency, that is from transitional activities and passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI342,EU_TAX_EST_SC_TR_REV_PCT,EU Taxonomy Estimated SC Transitional Rev Pct,"Estimated percentage of total revenue/turnover generated by the company that is from transitional activities and passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI345,EU_TAX_EST_SC_EN_REV_AMT,EU Taxonomy Estimated SC Enabling Revenue Amount,"Estimated amount of revenue/turnover generated by the company, in local currency, that is from enabling activities and passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI346,EU_TAX_EST_SC_EN_REV_PCT,EU Taxonomy Estimated SC Enabling Revenue Percent,"Estimated percentage of total revenue/turnover generated by the company that is from enabling activities and passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI349,FOSSIL_FUEL_OPERATIONS_REV_AMT,Fossil Fuel Operations Revenue Amount,"Amount of revenue/turnover generated by the company, in local currency, that is derived from a fossil fuel sector activity. The amount is calculated by the sum of each security's total revenue within a fossil fuel sector BICS (Bloomberg Industry Classification) code. 

'fossil fuel sectors’ means sectors of the economy which produce, process, store or use fossil fuels.
‘fossil fuel’ means non-renewable carbon-based energy sources such as solid fuels, natural gas and oil.

These definitions are taken from Article 2(62) of Regulation (EU) 2018/1999 of the European Parliament and of the Council.

This figure is calculated by Bloomberg.",Local Currency,Annual,ESG Overall,N.A.,From 2019,45587,current,N.A.
BI350,FOSSIL_FUEL_OPERATIONS_REV_PCT,Fossil Fuel Operations Revenue Percent,"Amount of revenue/turnover generated by the company, in local currency millions, that is derived from a fossil fuel sector activity. The amount is calculated by the sum of each security's total revenue within a fossil fuel sector BICS (Bloomberg Industry Classification) code. 

'fossil fuel sectors’ means sectors of the economy which produce, process, store or use fossil fuels.
‘fossil fuel’ means non-renewable carbon-based energy sources such as solid fuels, natural gas and oil.

These definitions are taken from Article 2(62) of Regulation (EU) 2018/1999 of the European Parliament and of the Council.

This figure is calculated by Bloomberg.",Percentage,Annual,ESG Overall,N.A.,From 2019,45587,current,SFDR
BI351,NUCLEAR_OPERATIONS_REV_AMT,Nuclear Operations Revenue Amount,"Amount of revenue/turnover generated by the company, in local currency, that is derived from a nuclear power sector activity. The amount is calculated by the sum of each security's total revenue within a nuclear power sector BICS (Bloomberg Industry Classification) code.
'nuclear sectors’ means activities directly related to the production or distribution of nuclear power
‘nuclear power’ means the use of nuclear reactions to produce electricity",Local Currency,Annual,Environmental,N.A.,From 2019,45434,current,N.A.
BI352,NUCLEAR_OPERATIONS_REV_PCT,Nuclear Operations Revenue Percent,"Percentage of total revenue generated by the company that is derived from a nuclear power sector. The percentage is calculated by the sum of each security's total revenue percentage within a nuclear sector BICS (Bloomberg Industry Classification) code. 
'nuclear sectors' means activities directly related to the production or distribution of nuclear power
'nuclear power' means the use of nuclear reactions to produce electricity
This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45434,current,N.A.
BI353,NATURAL_GAS_OPERATIONS_REV_AMT,Natural Gas Operations Revenue Amount,"Amount of revenue/turnover generated by the company, in local currency, that is derived from a fossil fuel based natural gas sector activity. The amount is calculated by the sum of each security's total revenue within a natural gas sector BICS (Bloomberg Industry Classification) code.

'fossil fuel based natural gas sector’ means activities directly related to the production or distribution of fossil fuel based natural gas.
‘fossil fuel’ means non-renewable carbon-based energy sources.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45434,current,N.A.
BI354,NATURAL_GAS_OPERATIONS_REV_PCT,Natural Gas Operations Revenue Percent,"Percentage of total revenue generated by the company that is derived from a fossil fuel based natural gas sector. The percentage is calculated by the sum of each security's total revenue percentage within a natural gas sector BICS (Bloomberg Industry Classification) code.

'fossil fuel based natural gas sector’ means activities directly related to the production or distribution of fossil fuel based natural gas.
‘fossil fuel’ means non-renewable carbon-based energy sources.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45434,current,N.A.
BI355,COAL_OPERATIONS_REV_AMT,Coal Operations Revenue Amount,"Amount of revenue/turnover generated by the company, in local currency, that is derived from a thermal coal sector activity. The amount is calculated by the sum of each security's total revenue within a coal sector BICS (Bloomberg Industry Classification) code.


'thermal coal sectors’ means sectors of the economy involved in the exploration, mining, extraction, distribution or refining of hard coal and lignite, used in combustion for energy
‘thermal coal’ is used to provide heat energy in combustion, also known as ‘steaming coal’ or just ‘coal’; this activity excludes metallurgical coal, which is used to produce coke, the primary source of carbon used in steel-making.

These definitions are taken from Divisions 05 to 09, 19 and 20 of Annex I to Regulation (EU) 1893/2006 of the European Parliament and of the Council.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45434,current,N.A.
BI356,COAL_OPERATIONS_REV_PCT,Coal Operations Revenue Percent,"Percentage of total revenue/turnover generated by the company that is derived from a thermal coal sector. The percentage is calculated by the sum of each security's total revenue percentage within a coal sector BICS (Bloomberg Industry Classification) code.

'thermal coal sectors’ means sectors of the economy involved in the exploration, mining, extraction, distribution or refining of hard coal and lignite, used in combustion for energy

‘thermal coal’ is used to provide heat energy in combustion, also known as ‘steaming coal’ or just ‘coal’; this activity excludes metallurgical coal, which is used to produce coke, the primary source of carbon used in steel-making.

These definitions are taken from Divisions 05 to 09, 19 and 20 of Annex I to Regulation (EU) 1893/2006 of the European Parliament and of the Council.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45434,current,N.A.
BI357,OIL_OPERATIONS_REV_AMT,Oil Operations Revenue Amount,"Amount of revenue/turnover generated by the company, in local currency, that is derived from an oil sector activity. The amount is calculated by the sum of each security's total revenue within an oil sector BICS (Bloomberg Industry Classification) code.

'oil sectors’ means sectors of the economy involved in the exploration, extraction, distribution or refining of oil fuels
‘oil’ means non-renewable carbon-based source of fuel. 'Oil' covers both naturally occurring unprocessed crude oil and petroleum products that are made up of refined crude oil.

These definitions are taken from Divisions 05 to 09, 19 and 20 of Annex I to Regulation (EU) 1893/2006 of the European Parliament and of the Council.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45434,current,N.A.
BI358,OIL_OPERATIONS_REV_PCT,Oil Operations Revenue Percent,"Percentage of total revenue/turnover generated by the company that is derived from an oil sector. The percentage is calculated by the sum of each security's total revenue percentage within an oil sector BICS (Bloomberg Industry Classification) code.

'oil sectors’ means sectors of the economy involved in the exploration, extraction, distribution or refining of oil fuels
‘oil’ means non-renewable carbon-based source of fuel. 'Oil' covers both naturally occurring unprocessed crude oil and petroleum products that are made up of refined crude oil.

These definitions are taken from Divisions 05 to 09, 19 and 20 of Annex I to Regulation (EU) 1893/2006 of the European Parliament and of the Council.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45434,current,N.A.
BI359,MINING_OPERATIONS_REV_AMT,Mining Operations Revenue Amount,"Amount of revenue/turnover generated by the company, in local currency, that is derived from a mining sector activity. The amount is calculated by the sum of each security's total revenue within a mining sector BICS (Bloomberg Industry Classification) code.

'mining sectors’ means sectors of the economy involved in the act of mining, quarrying, drilling or associated support services. Activities include mining of coal and lignite, extraction of crude petroleum and natural gas, mining of metal ores, other mining and quarrying and mining support service activities; as defined by Divisions 05 to 09 of Annex I to Regulation (EC) No 1893/2006.
‘mining’ means the extraction of raw materials including coal, metals, minerals, precious stones, etc. from mines or quarries.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45434,current,N.A.
BI360,MINING_OPERATIONS_REV_PCT,Mining Operations Revenue Percent,"Percentage of total revenue/turnover generated by the company that is derived from a mining sector. The percentage is calculated by the sum of each security's total revenue percentage within a mining sector BICS (Bloomberg Industry Classification) code.

'mining sectors’ means sectors of the economy involved in the act of mining, quarrying, drilling or associated support services. Activities include mining of coal and lignite, extraction of crude petroleum and natural gas, mining of metal ores, other mining and quarrying and mining support service activities; as defined by Divisions 05 to 09 of Annex I to Regulation (EC) No 1893/2006.
‘mining’ means the extraction of raw materials including coal, metals, minerals, precious stones, etc. from mines or quarries.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45434,current,N.A.
BI361,CHEMICALS_OPERATIONS_REV_AMT,Chemicals Operations Revenue Amount,"Amount of revenue/turnover generated by the company, in local currency, that is derived from a chemicals sector activity. The amount is calculated by the sum of each security's total revenue within a chemicals sector BICS (Bloomberg Industry Classification) code.

'chemicals sectors’ means sectors of the economy involved in manufacturing chemicals. This division includes the transformation of organic and inorganic raw materials by a chemical process and the formation of products. Activities include the manufacture of basic chemical products, fertilizers and associated nitrogen compounds, as well as plastics and synthetic rubber in primary forms.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45434,current,N.A.
BI362,CHEMICALS_OPERATIONS_REV_PCT,Chemicals Operations Revenue Percent,"Percentage of total revenue/turnover generated by the company that is derived from a chemicals sector. The percentage is calculated by the sum of each security's total revenue percentage within a chemicals sector BICS (Bloomberg Industry Classification) code.

'chemicals sectors’ means sectors of the economy involved in manufacturing chemicals. This division includes the transformation of organic and inorganic raw materials by a chemical process and the formation of products. Activities include the manufacture of basic chemical products, fertilizers and associated nitrogen compounds, as well as plastics and synthetic rubber in primary forms.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45434,current,N.A.
BI363,CRUDE_PRCSS_OPERATIONS_REV_AMT,Crude Processing Operations Revenue Amount,"Amount of revenue/turnover generated by the company, in local currency, that is derived from a crude processing sector activity. The amount is calculated by the sum of each security's total revenue within a crude processing sector BICS (Bloomberg Industry Classification) code.

'crude processing sectors’ means sectors of the economy involved in the manufacture of coke and refined petroleum products. Activities include transformation of crude petroleum and coal into usable products. The dominant process is petroleum refining, which involves the separation of crude petroleum into component products through such techniques as cracking and distillation.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45434,current,N.A.
BI364,CRUDE_PRCSS_OPERATIONS_REV_PCT,Crude Processing Operations Revenue Percent,"Percentage of total revenue/turnover generated by the company that is derived from a crude processing sector. The percentage is calculated by the sum of each security's total revenue percentage within a crude processing sector BICS (Bloomberg Industry Classification) code.

'crude processing sectors’ means sectors of the economy involved in the manufacture of coke and refined petroleum products. Activities include transformation of crude petroleum and coal into usable products. The dominant process is petroleum refining, which involves the separation of crude petroleum into component products through such techniques as cracking and distillation.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45434,current,N.A.
BI373,EU_TAX_EST_PA_MIT_REV_AMT,EU Taxonomy Est Part Align Mitigation Rev Amt,"Estimated amount of revenue/turnover generated by the company, in local currency, that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to climate change mitigation, partially passes Do No Significant Harm (DNSH) tests, and partially passes minimum safeguard tests. Therefore, the output represents estimated partially aligned revenue/turnover.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
BI374,EU_TAX_EST_PA_MIT_REV_PCT,EU Taxonomy Est Part Align Mitigation Rev Pct,"Estimated percentage of total revenue/turnover generated by the company that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to climate change mitigation, partially passes Do No Significant Harm (DNSH) tests, and partially passes Minimum Safeguard tests. Therefore, the output represents estimated partially aligned revenue/turnover.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45648,current,N.A.
